interval_no,record_type,scale_no,interval_name,abbrev,type,parent_no,color,t_age,b_age,reference_no
751,int,1,Phanerozoic,,eon,,#9AD9DD,0,538.8,87596
1,int,1,Cenozoic,Cz,era,751,#F2F91D,0,66,87596
12,int,1,Quaternary,Q,period,1,#F9F97F,0,2.58,87596
32,int,1,Holocene,,epoch,12,#FEF2E0,0,0.0117,87596
1200,int,1,Meghalayan,,age,32,#FEF2E0,0,0.0042,87596
1201,int,1,Northgrippian,,age,32,#FEF2E0,0.0042,0.0082,87596
1202,int,1,Greenlandian,,age,32,#FEF2E0,0.0082,0.0117,87596
33,int,1,Pleistocene,Ple,epoch,12,#FFF2AE,0.0117,2.58,87596
922,int,1,Late Pleistocene,,age,33,#FFF2C7,0.0117,0.129,87596
1203,int,1,Chibanian,,age,33,#FFF2C7,0.129,0.774,87596
740,int,1,Calabrian,,age,33,#FFF2C7,0.774,1.8,87596
741,int,1,Gelasian,,age,33,#FFEDB3,1.8,2.58,87596
25,int,1,Neogene,Ng,period,1,#FFE619,2.58,23.03,87596
34,int,1,Pliocene,Pli,epoch,25,#FFFF99,2.58,5.333,87596
96,int,1,Piacenzian,,age,34,#FFFFBF,2.58,3.6,87596
97,int,1,Zanclean,,age,34,#FFFFB3,3.6,5.333,87596
35,int,1,Miocene,Mio,epoch,25,#FFFF00,5.333,23.03,87596
98,int,1,Messinian,,age,35,#FFFF73,5.333,7.246,87596
99,int,1,Tortonian,,age,35,#FFFF66,7.246,11.63,87596
100,int,1,Serravallian,,age,35,#FFFF59,11.63,13.82,87596
101,int,1,Langhian,,age,35,#FFFF4D,13.82,15.98,87596
102,int,1,Burdigalian,,age,35,#FFFF41,15.98,20.44,87596
103,int,1,Aquitanian,,age,35,#FFFF33,20.44,23.03,87596
26,int,1,Paleogene,Pg,period,1,#FD9A52,23.03,66,87596
36,int,1,Oligocene,Ol,epoch,26,#FDC07A,23.03,33.9,87596
104,int,1,Chattian,,age,36,#FEE6AA,23.03,27.82,87596
105,int,1,Rupelian,,age,36,#FED99A,27.82,33.9,87596
37,int,1,Eocene,Eo,epoch,26,#FDB46C,33.9,56,87596
106,int,1,Priabonian,,age,37,#FDCDA1,33.9,37.71,87596
107,int,1,Bartonian,,age,37,#FDC091,37.71,41.2,87596
108,int,1,Lutetian,,age,37,#FCB482,41.2,47.8,87596
109,int,1,Ypresian,,age,37,#FCA773,47.8,56,87596
38,int,1,Paleocene,Pal,epoch,26,#FDA75F,56,66,87596
110,int,1,Thanetian,,age,38,#FDBF6F,56,59.2,87596
743,int,1,Selandian,,age,38,#FEBF65,59.2,61.6,87596
111,int,1,Danian,,age,38,#FDB462,61.6,66,87596
2,int,1,Mesozoic,Mz,era,751,#67C5CA,66,251.902,87596
14,int,1,Cretaceous,K,period,2,#7FC64E,66,145,87596
39,int,1,Late Cretaceous,,epoch,14,#A6D84A,66,100.5,87596
112,int,1,Maastrichtian,,age,39,#F2FA8C,66,72.1,87596
113,int,1,Campanian,,age,39,#E6F47F,72.1,83.6,87596
114,int,1,Santonian,,age,39,#D9EF74,83.6,86.3,87596
115,int,1,Coniacian,,age,39,#CCE968,86.3,89.8,87596
116,int,1,Turonian,,age,39,#BFE35D,89.8,93.9,87596
117,int,1,Cenomanian,,age,39,#B3DE53,93.9,100.5,87596
40,int,1,Early Cretaceous,,epoch,14,#8CCD57,100.5,145,87596
118,int,1,Albian,,age,40,#CCEA97,100.5,113,87596
119,int,1,Aptian,,age,40,#BFE48A,113,121.4,87596
120,int,1,Barremian,,age,40,#B3DF7F,121.4,125.77,87596
121,int,1,Hauterivian,,age,40,#A6D975,125.77,132.6,87596
122,int,1,Valanginian,,age,40,#99D36A,132.6,139.8,87596
123,int,1,Berriasian,,age,40,#8CCD60,139.8,145,87596
15,int,1,Jurassic,J,period,2,#34B2C9,145,201.4,87596
41,int,1,Late Jurassic,,epoch,15,#B3E3EE,145,161.5,87596
124,int,1,Tithonian,,age,41,#D9F1F7,145,149.2,87596
125,int,1,Kimmeridgian,,age,41,#CCECF4,149.2,154.8,87596
126,int,1,Oxfordian,,age,41,#BFE7F1,154.8,161.5,87596
42,int,1,Middle Jurassic,,epoch,15,#80CFD8,161.5,174.7,87596
127,int,1,Callovian,,age,42,#BFE7E5,161.5,165.3,87596
128,int,1,Bathonian,,age,42,#B3E2E3,165.3,168.2,87596
129,int,1,Bajocian,,age,42,#A6DDE0,168.2,170.9,87596
130,int,1,Aalenian,,age,42,#9AD9DD,170.9,174.7,87596
43,int,1,Early Jurassic,,epoch,15,#42AED0,174.7,201.4,87596
131,int,1,Toarcian,,age,43,#99CEE3,174.7,184.2,87596
132,int,1,Pliensbachian,,age,43,#80C5DD,184.2,192.9,87596
